date,level,site
2001-12-21,-66.3625,#1004901
2002-12-21,-66.08999999999999,#1004901
2003-12-21,-66.00833333333334,#1004901
2004-12-21,-65.94736842105263,#1004901
2005-12-21,-65.94,#1004901
2006-12-21,-65.95333333333333,#1004901
2007-12-21,-65.97944444444444,#1004901
2008-12-21,-66.13,#1004901
2009-12-21,-66.58529411764707,#1004901
2010-12-21,-67.00529411764705,#1004901
2011-12-21,-67.62692307692308,#1004901
2012-12-21,-68.39,#1004901
2013-12-21,-68.82849999999999,#1004901
2014-12-21,-69.311,#1004901
2015-12-21,-69.44526315789474,#1004901
2016-12-21,-69.41368421052631,#1004901
2017-12-21,-69.44357142857143,#1004901
2018-12-21,-69.79157894736842,#1004901
2019-12-21,-69.9142105263158,#1004901
2020-12-21,-70.09,#1004901
2001-12-21,-41.293837209302325,#1051909
2002-12-21,-41.83166666666667,#1051909
2003-12-21,-42.105555555555554,#1051909
2004-12-21,-41.983,#1051909
2005-12-21,-42.17,#1051909
2006-12-21,-43.28,#1051909
2007-12-21,-43.20333333333333,#1051909
2008-12-21,-43.44,#1051909
2009-12-21,-44.505,#1051909
2010-12-21,-44.23611111111112,#1051909
2011-12-21,-44.57588235294117,#1051909
2012-12-21,-45.06111111111111,#1051909
2013-12-21,-45.08578947368421,#1051909
2014-12-21,-44.77055555555555,#1051909
2015-12-21,-44.897777777777776,#1051909
2016-12-21,-45.04555555555556,#1051909
2017-12-21,-45.452666666666666,#1051909
2018-12-21,-45.43277777777777,#1051909
2019-12-21,-45.505,#1051909
2020-12-21,,#1051909
2001-12-21,-35.785555555555554,#1053602
2002-12-21,-36.443333333333335,#1053602
2003-12-21,-36.83277777777778,#1053602
2004-12-21,-38.021764705882354,#1053602
2005-12-21,-39.17666666666666,#1053602
2006-12-21,-39.99166666666667,#1053602
2007-12-21,-40.94222222222223,#1053602
2008-12-21,-41.60388888888889,#1053602
2009-12-21,-41.79833333333333,#1053602
2010-12-21,-42.34388888888889,#1053602
2011-12-21,-42.68052631578947,#1053602
2012-12-21,-43.37210526315789,#1053602
2013-12-21,-43.91277777777778,#1053602
2014-12-21,-44.175,#1053602
2015-12-21,-44.55684210526316,#1053602
2016-12-21,-44.80947368421052,#1053602
2017-12-21,-45.108421052631584,#1053602
2018-12-21,-45.51789473684211,#1053602
2019-12-21,-45.89055555555555,#1053602
2020-12-21,-46.193333333333335,#1053602
2001-12-21,-33.06,#1121801
2002-12-21,-31.76,#1121801
2003-12-21,-31.88,#1121801
2004-12-21,-31.97,#1121801
2005-12-21,-31.83,#1121801
2006-12-21,-32.05,#1121801
2007-12-21,-32.45,#1121801
2008-12-21,-32.74,#1121801
2009-12-21,-32.85,#1121801
2010-12-21,-35.59,#1121801
2011-12-21,-32.19,#1121801
2012-12-21,-33.42,#1121801
2013-12-21,-32.16,#1121801
2014-12-21,-32.28,#1121801
2015-12-21,-33.84,#1121801
2016-12-21,-32.19,#1121801
2017-12-21,-33.05,#1121801
2018-12-21,-32.53,#1121801
2019-12-21,,#1121801
2020-12-21,-32.33,#1121801
2001-12-21,-27.87,#1129703
2002-12-21,-27.72,#1129703
2003-12-21,-27.65,#1129703
2004-12-21,-27.81,#1129703
2005-12-21,-27.16,#1129703
2006-12-21,-27.19,#1129703
2007-12-21,,#1129703
2008-12-21,-29.43,#1129703
2009-12-21,-27.14,#1129703
2010-12-21,,#1129703
2011-12-21,-27.26,#1129703
2012-12-21,-27.99,#1129703
2013-12-21,-27.56,#1129703
2014-12-21,-28.69,#1129703
2015-12-21,-29.25,#1129703
2016-12-21,-27.54,#1129703
2017-12-21,-27.06,#1129703
2018-12-21,-27.01,#1129703
2019-12-21,-27.15,#1129703
2020-12-21,-27.38,#1129703
2001-12-21,-53.52,#1137701
2002-12-21,-54.04,#1137701
2003-12-21,-54.76,#1137701
2004-12-21,-54.06,#1137701
2005-12-21,-54.0,#1137701
2006-12-21,-54.81,#1137701
2007-12-21,-54.35,#1137701
2008-12-21,-54.65,#1137701
2009-12-21,-56.12,#1137701
2010-12-21,-56.36,#1137701
2011-12-21,,#1137701
2012-12-21,-57.42,#1137701
2013-12-21,-58.16,#1137701
2014-12-21,-57.57,#1137701
2015-12-21,-57.38,#1137701
2016-12-21,-58.28,#1137701
2017-12-21,-57.59,#1137701
2018-12-21,-57.57,#1137701
2019-12-21,-57.47,#1137701
2020-12-21,-58.64,#1137701
2001-12-21,-62.58,#1137914
2002-12-21,-62.72,#1137914
2003-12-21,-62.99,#1137914
2004-12-21,-62.99,#1137914
2005-12-21,-62.63,#1137914
2006-12-21,-63.24,#1137914
2007-12-21,-63.22,#1137914
2008-12-21,-63.88,#1137914
2009-12-21,-63.9,#1137914
2010-12-21,-64.12,#1137914
2011-12-21,-64.31,#1137914
2012-12-21,-64.66,#1137914
2013-12-21,-68.51,#1137914
2014-12-21,,#1137914
2015-12-21,-65.03,#1137914
2016-12-21,-64.74,#1137914
2017-12-21,-64.86,#1137914
2018-12-21,-65.01,#1137914
2019-12-21,,#1137914
2020-12-21,-65.03,#1137914
2001-12-21,-40.44,#1138109
2002-12-21,-40.75,#1138109
2003-12-21,-40.75,#1138109
2004-12-21,-41.0,#1138109
2005-12-21,-40.5,#1138109
2006-12-21,-40.29,#1138109
2007-12-21,-39.76,#1138109
2008-12-21,-39.81,#1138109
2009-12-21,-41.53,#1138109
2010-12-21,-40.75,#1138109
2011-12-21,,#1138109
2012-12-21,-42.49,#1138109
2013-12-21,-41.71,#1138109
2014-12-21,-41.67,#1138109
2015-12-21,,#1138109
2016-12-21,-41.4,#1138109
2017-12-21,-41.13,#1138109
2018-12-21,-41.61,#1138109
2019-12-21,-41.76,#1138109
2020-12-21,-41.87,#1138109
2001-12-21,-59.53,#1138402
2002-12-21,-59.99,#1138402
2003-12-21,-60.53,#1138402
2004-12-21,-60.2,#1138402
2005-12-21,-59.15,#1138402
2006-12-21,-60.23,#1138402
2007-12-21,-60.47,#1138402
2008-12-21,-60.4,#1138402
2009-12-21,-60.65,#1138402
2010-12-21,-61.85,#1138402
2011-12-21,-61.09,#1138402
2012-12-21,-61.47,#1138402
2013-12-21,-61.72,#1138402
2014-12-21,-61.84,#1138402
2015-12-21,-61.55,#1138402
2016-12-21,-61.14,#1138402
2017-12-21,-61.06,#1138402
2018-12-21,-61.39,#1138402
2019-12-21,-61.47,#1138402
2020-12-21,-61.37,#1138402
2001-12-21,-35.27,#1138728
2002-12-21,-36.32,#1138728
2003-12-21,-35.65,#1138728
2004-12-21,-35.63,#1138728
2005-12-21,-35.81,#1138728
2006-12-21,-36.06,#1138728
2007-12-21,-35.89,#1138728
2008-12-21,-35.74,#1138728
2009-12-21,-35.85,#1138728
2010-12-21,-37.53,#1138728
2011-12-21,-36.18,#1138728
2012-12-21,-36.35,#1138728
2013-12-21,-36.2,#1138728
2014-12-21,-36.58,#1138728
2015-12-21,-36.47,#1138728
2016-12-21,-36.48,#1138728
2017-12-21,-36.56,#1138728
2018-12-21,-36.74,#1138728
2019-12-21,-36.92,#1138728
2020-12-21,-37.05,#1138728
2001-12-21,-30.36,#1138921
2002-12-21,-30.57,#1138921
2003-12-21,-30.44,#1138921
2004-12-21,-30.48,#1138921
2005-12-21,-30.52,#1138921
2006-12-21,-30.63,#1138921
2007-12-21,-30.88,#1138921
2008-12-21,-30.72,#1138921
2009-12-21,-30.74,#1138921
2010-12-21,-31.15,#1138921
2011-12-21,-30.89,#1138921
2012-12-21,-30.8,#1138921
2013-12-21,-30.85,#1138921
2014-12-21,-31.0,#1138921
2015-12-21,-30.96,#1138921
2016-12-21,-30.97,#1138921
2017-12-21,-30.99,#1138921
2018-12-21,-30.98,#1138921
2019-12-21,-31.02,#1138921
2020-12-21,-31.02,#1138921
2001-12-21,-61.92,#1139201
2002-12-21,-61.78,#1139201
2003-12-21,-61.94,#1139201
2004-12-21,-61.77,#1139201
2005-12-21,-61.58,#1139201
2006-12-21,-61.76,#1139201
2007-12-21,-61.57,#1139201
2008-12-21,-61.4,#1139201
2009-12-21,-62.09,#1139201
2010-12-21,-62.06,#1139201
2011-12-21,-61.83,#1139201
2012-12-21,-61.97,#1139201
2013-12-21,-62.15,#1139201
2014-12-21,-62.3,#1139201
2015-12-21,-62.28,#1139201
2016-12-21,-62.09,#1139201
2017-12-21,-61.97,#1139201
2018-12-21,-61.89,#1139201
2019-12-21,-62.18,#1139201
2020-12-21,-62.36,#1139201
2001-12-21,-60.14,#1139605
2002-12-21,-59.15,#1139605
2003-12-21,-60.56,#1139605
2004-12-21,-59.07,#1139605
2005-12-21,-61.29,#1139605
2006-12-21,-62.22,#1139605
2007-12-21,-58.92,#1139605
2008-12-21,-60.99,#1139605
2009-12-21,-61.89,#1139605
2010-12-21,-62.77,#1139605
2011-12-21,-59.53,#1139605
2012-12-21,-58.76,#1139605
2013-12-21,-62.05,#1139605
2014-12-21,-58.73,#1139605
2015-12-21,-64.23,#1139605
2016-12-21,,#1139605
2017-12-21,-58.82,#1139605
2018-12-21,-59.87,#1139605
2019-12-21,-62.87,#1139605
2020-12-21,-65.45,#1139605
2001-12-21,-55.75285714285714,#1142315
2002-12-21,-55.88666666666666,#1142315
2003-12-21,-56.02764705882353,#1142315
2004-12-21,-56.207142857142856,#1142315
2005-12-21,-56.35,#1142315
2006-12-21,-56.53722222222222,#1142315
2007-12-21,-56.54555555555555,#1142315
2008-12-21,-56.772777777777776,#1142315
2009-12-21,-56.911111111111104,#1142315
2010-12-21,-57.02875,#1142315
2011-12-21,-57.13736842105263,#1142315
2012-12-21,-57.285,#1142315
2013-12-21,-57.42052631578947,#1142315
2014-12-21,-57.52555555555556,#1142315
2015-12-21,-57.63894736842106,#1142315
2016-12-21,-57.73263157894737,#1142315
2017-12-21,-57.80315789473684,#1142315
2018-12-21,-57.85473684210526,#1142315
2019-12-21,-57.92684210526316,#1142315
2020-12-21,-58.01,#1142315
2001-12-21,-41.92,#1145314
2002-12-21,-41.97,#1145314
2003-12-21,-42.15,#1145314
2004-12-21,-42.2,#1145314
2005-12-21,-42.18,#1145314
2006-12-21,-42.32,#1145314
2007-12-21,-41.67,#1145314
2008-12-21,-42.49,#1145314
2009-12-21,-42.76,#1145314
2010-12-21,-43.27,#1145314
2011-12-21,-42.82,#1145314
2012-12-21,-42.9,#1145314
2013-12-21,-43.0,#1145314
2014-12-21,-43.3,#1145314
2015-12-21,-43.18,#1145314
2016-12-21,-43.27,#1145314
2017-12-21,-43.37,#1145314
2018-12-21,-43.41,#1145314
2019-12-21,-43.54,#1145314
2020-12-21,-43.59,#1145314
2001-12-21,-31.58,#1146101
2002-12-21,-31.79,#1146101
2003-12-21,-31.83,#1146101
2004-12-21,-31.56,#1146101
2005-12-21,-32.06,#1146101
2006-12-21,-32.05,#1146101
2007-12-21,-31.81,#1146101
2008-12-21,-31.91,#1146101
2009-12-21,-31.95,#1146101
2010-12-21,-31.93,#1146101
2011-12-21,-31.96,#1146101
2012-12-21,-32.33,#1146101
2013-12-21,-32.39,#1146101
2014-12-21,-32.39,#1146101
2015-12-21,-32.19,#1146101
2016-12-21,-32.13,#1146101
2017-12-21,-32.18,#1146101
2018-12-21,-32.44,#1146101
2019-12-21,-32.52,#1146101
2020-12-21,-32.24,#1146101
2001-12-21,-56.70384615384615,#1151403
2002-12-21,-57.138333333333335,#1151403
2003-12-21,-57.77444444444445,#1151403
2004-12-21,-58.38333333333334,#1151403
2005-12-21,-58.73555555555556,#1151403
2006-12-21,-59.31444444444445,#1151403
2007-12-21,-59.94888888888889,#1151403
2008-12-21,-60.57,#1151403
2009-12-21,-61.135000000000005,#1151403
2010-12-21,-61.88625,#1151403
2011-12-21,-62.562,#1151403
2012-12-21,-63.67,#1151403
2013-12-21,-64.28450000000001,#1151403
2014-12-21,-64.505,#1151403
2015-12-21,-63.97631578947368,#1151403
2016-12-21,-64.17999999999999,#1151403
2017-12-21,-64.24526315789474,#1151403
2018-12-21,-64.98631578947368,#1151403
2019-12-21,-64.82157894736842,#1151403
2020-12-21,-65.20277777777778,#1151403
2001-12-21,-64.50277777777778,#2330103
2002-12-21,-64.55166666666668,#2330103
2003-12-21,-64.91444444444444,#2330103
2004-12-21,-64.63294117647058,#2330103
2005-12-21,-65.07499999999999,#2330103
2006-12-21,-65.25333333333333,#2330103
2007-12-21,-64.76777777777778,#2330103
2008-12-21,-65.35833333333333,#2330103
2009-12-21,-66.045,#2330103
2010-12-21,-65.715,#2330103
2011-12-21,-66.72842105263157,#2330103
2012-12-21,-66.4121052631579,#2330103
2013-12-21,-66.45,#2330103
2014-12-21,-66.50842105263159,#2330103
2015-12-21,-66.51473684210526,#2330103
2016-12-21,-66.61166666666666,#2330103
2017-12-21,-66.2088888888889,#2330103
2018-12-21,-66.39,#2330103
2019-12-21,-66.8075,#2330103
2020-12-21,-66.105,#2330103
2001-12-21,-40.66888888888889,#2739903
2002-12-21,-40.529375,#2739903
2003-12-21,-40.268,#2739903
2004-12-21,-40.230555555555554,#2739903
2005-12-21,-40.156666666666666,#2739903
2006-12-21,-40.89833333333333,#2739903
2007-12-21,-40.08285714285714,#2739903
2008-12-21,-40.45777777777778,#2739903
2009-12-21,-40.92277777777778,#2739903
2010-12-21,-41.84388888888889,#2739903
2011-12-21,-42.65222222222222,#2739903
2012-12-21,-42.74117647058824,#2739903
2013-12-21,-43.62111111111111,#2739903
2014-12-21,-43.5364705882353,#2739903
2015-12-21,-43.37421052631579,#2739903
2016-12-21,-44.01578947368421,#2739903
2017-12-21,-44.0,#2739903
2018-12-21,-43.862,#2739903
2019-12-21,-43.83,#2739903
2020-12-21,-44.10111111111111,#2739903
2001-12-21,-19.078333333333333,#2825604
2002-12-21,-19.404444444444447,#2825604
2003-12-21,-19.86111111111111,#2825604
2004-12-21,-19.73,#2825604
2005-12-21,-19.246111111111112,#2825604
2006-12-21,-19.355555555555554,#2825604
2007-12-21,-18.688888888888886,#2825604
2008-12-21,-18.577058823529413,#2825604
2009-12-21,-18.66333333333333,#2825604
2010-12-21,-18.313333333333333,#2825604
2011-12-21,-18.235,#2825604
2012-12-21,-19.149411764705885,#2825604
2013-12-21,-19.245555555555555,#2825604
2014-12-21,-19.31055555555556,#2825604
2015-12-21,-18.86684210526316,#2825604
2016-12-21,-17.877894736842105,#2825604
2017-12-21,-17.165555555555557,#2825604
2018-12-21,-17.164736842105263,#2825604
2019-12-21,-17.200000000000003,#2825604
2020-12-21,-17.21055555555556,#2825604
2001-12-21,-35.79666666666667,#341010102240801
2002-12-21,-36.45166666666666,#341010102240801
2003-12-21,-36.89833333333333,#341010102240801
2004-12-21,-38.04833333333334,#341010102240801
2005-12-21,-39.181666666666665,#341010102240801
2006-12-21,-40.01166666666666,#341010102240801
2007-12-21,-40.965,#341010102240801
2008-12-21,-41.60666666666666,#341010102240801
2009-12-21,-41.79666666666667,#341010102240801
