date,level,site
2001-09-21,-66.42500000000001,#1004901
2002-09-21,-66.15,#1004901
2003-09-21,-66.01529411764706,#1004901
2004-09-21,-65.96444444444444,#1004901
2005-09-21,-65.92333333333333,#1004901
2006-09-21,-65.93384615384615,#1004901
2007-09-21,-65.98333333333333,#1004901
2008-09-21,-66.06666666666666,#1004901
2009-09-21,-66.515,#1004901
2010-09-21,-66.58999999999999,#1004901
2011-09-21,-67.45611111111111,#1004901
2012-09-21,-68.19888888888889,#1004901
2013-09-21,-68.67277777777778,#1004901
2014-09-21,-69.20777777777778,#1004901
2015-09-21,-69.41888888888889,#1004901
2016-09-21,-69.4535294117647,#1004901
2017-09-21,-69.41055555555556,#1004901
2018-09-21,-69.75866666666666,#1004901
2019-09-21,-69.805,#1004901
2020-09-21,-69.99444444444445,#1004901
2001-09-21,-41.7,#1051909
2002-09-21,-41.68260869565218,#1051909
2003-09-21,-42.28777777777778,#1051909
2004-09-21,-41.99166666666667,#1051909
2005-09-21,-42.21083333333333,#1051909
2006-09-21,-43.253888888888895,#1051909
2007-09-21,-43.30111111111111,#1051909
2008-09-21,-43.38769230769231,#1051909
2009-09-21,-44.15166666666667,#1051909
2010-09-21,-44.19166666666666,#1051909
2011-09-21,-44.51277777777778,#1051909
2012-09-21,-45.14555555555555,#1051909
2013-09-21,-45.208888888888886,#1051909
2014-09-21,-45.1,#1051909
2015-09-21,-45.14,#1051909
2016-09-21,-45.2535294117647,#1051909
2017-09-21,-45.51125,#1051909
2018-09-21,-45.388888888888886,#1051909
2019-09-21,-45.54333333333333,#1051909
2020-09-21,,#1051909
2001-09-21,-35.559444444444445,#1053602
2002-09-21,-36.21722222222222,#1053602
2003-09-21,-36.57111111111111,#1053602
2004-09-21,-37.73388888888889,#1053602
2005-09-21,-38.94111111111111,#1053602
2006-09-21,-39.74777777777778,#1053602
2007-09-21,-40.62611111111111,#1053602
2008-09-21,-41.452777777777776,#1053602
2009-09-21,-41.75277777777777,#1053602
2010-09-21,-42.13,#1053602
2011-09-21,-42.433,#1053602
2012-09-21,-43.13421052631579,#1053602
2013-09-21,-43.828421052631576,#1053602
2014-09-21,-44.075,#1053602
2015-09-21,-44.44052631578948,#1053602
2016-09-21,-44.754444444444445,#1053602
2017-09-21,-45.01105263157895,#1053602
2018-09-21,-45.37444444444444,#1053602
2019-09-21,-45.802,#1053602
2020-09-21,-46.06,#1053602
2001-09-21,-55.74,#1142315
2002-09-21,-55.815,#1142315
2003-09-21,-55.98111111111111,#1142315
2004-09-21,-56.15111111111111,#1142315
2005-09-21,-56.309230769230766,#1142315
2006-09-21,-56.49722222222223,#1142315
2007-09-21,-56.62388888888889,#1142315
2008-09-21,-56.66388888888888,#1142315
2009-09-21,-56.86555555555556,#1142315
2010-09-21,-56.99722222222223,#1142315
2011-09-21,-57.09722222222222,#1142315
2012-09-21,-57.25944444444445,#1142315
2013-09-21,-57.395555555555546,#1142315
2014-09-21,-57.505,#1142315
2015-09-21,-57.61999999999999,#1142315
2016-09-21,-57.71058823529412,#1142315
