date,level,site
2001-12-21,,#370014101265101
2002-12-21,,#370014101265101
2003-12-21,,#370014101265101
2004-12-21,,#370014101265101
2005-12-21,,#370014101265101
2006-12-21,,#370014101265101
2007-12-21,,#370014101265101
2008-12-21,,#370014101265101
2009-12-21,,#370014101265101
2010-12-21,,#370014101265101
2011-12-21,,#370014101265101
2012-12-21,,#370014101265101
2013-12-21,,#370014101265101
2014-12-21,,#370014101265101
2015-12-21,,#370014101265101
2016-12-21,,#370014101265101
2017-12-21,,#370014101265101
2018-12-21,,#370014101265101
2019-12-21,,#370014101265101
2020-12-21,,#370014101265101
2001-12-21,,#370033100534202
2002-12-21,,#370033100534202
2003-12-21,,#370033100534202
2004-12-21,,#370033100534202
2005-12-21,,#370033100534202
2006-12-21,,#370033100534202
2007-12-21,,#370033100534202
2008-12-21,,#370033100534202
2009-12-21,,#370033100534202
2010-12-21,,#370033100534202
2011-12-21,,#370033100534202
2012-12-21,,#370033100534202
2013-12-21,-48.12923076923077,#370033100534202
2014-12-21,-48.92554347826086,#370033100534202
2015-12-21,-49.4025,#370033100534202
2016-12-21,-50.085842696629214,#370033100534202
2017-12-21,-50.51,#370033100534202
2018-12-21,,#370033100534202
2019-12-21,-49.83521739130435,#370033100534202
2020-12-21,-50.23653846153846,#370033100534202
2001-12-21,,#370037101300201
2002-12-21,,#370037101300201
2003-12-21,,#370037101300201
2004-12-21,,#370037101300201
2005-12-21,,#370037101300201
2006-12-21,,#370037101300201
2007-12-21,,#370037101300201
2008-12-21,,#370037101300201
2009-12-21,,#370037101300201
2010-12-21,,#370037101300201
2011-12-21,,#370037101300201
2012-12-21,,#370037101300201
2013-12-21,,#370037101300201
2014-12-21,,#370037101300201
2015-12-21,,#370037101300201
2016-12-21,,#370037101300201
2017-12-21,,#370037101300201
2018-12-21,,#370037101300201
2019-12-21,,#370037101300201
2020-12-21,,#370037101300201
2001-12-21,,#370103101222801
2002-12-21,,#370103101222801
2003-12-21,,#370103101222801
2004-12-21,,#370103101222801
2005-12-21,,#370103101222801
2006-12-21,,#370103101222801
2007-12-21,,#370103101222801
2008-12-21,,#370103101222801
2009-12-21,,#370103101222801
2010-12-21,,#370103101222801
2011-12-21,,#370103101222801
2012-12-21,,#370103101222801
2013-12-21,,#370103101222801
2014-12-21,,#370103101222801
2015-12-21,,#370103101222801
2016-12-21,,#370103101222801
2017-12-21,,#370103101222801
2018-12-21,,#370103101222801
2019-12-21,,#370103101222801
2020-12-21,,#370103101222801
2001-12-21,,#370130101145201
2002-12-21,,#370130101145201
2003-12-21,,#370130101145201
2004-12-21,,#370130101145201
2005-12-21,,#370130101145201
2006-12-21,,#370130101145201
2007-12-21,,#370130101145201
2008-12-21,,#370130101145201
2009-12-21,,#370130101145201
2010-12-21,,#370130101145201
2011-12-21,,#370130101145201
2012-12-21,,#370130101145201
2013-12-21,,#370130101145201
2014-12-21,,#370130101145201
2015-12-21,,#370130101145201
2016-12-21,,#370130101145201
2017-12-21,,#370130101145201
2018-12-21,,#370130101145201
2019-12-21,,#370130101145201
2020-12-21,,#370130101145201
2001-12-21,,#370130101180902
2002-12-21,,#370130101180902
2003-12-21,,#370130101180902
2004-12-21,,#370130101180902
2005-12-21,,#370130101180902
2006-12-21,,#370130101180902
2007-12-21,,#370130101180902
2008-12-21,,#370130101180902
2009-12-21,,#370130101180902
2010-12-21,,#370130101180902
2011-12-21,,#370130101180902
2012-12-21,,#370130101180902
2013-12-21,-54.13642857142857,#370130101180902
2014-12-21,-58.848,#370130101180902
2015-12-21,-57.48909090909091,#370130101180902
2016-12-21,-62.60011363636364,#370130101180902
2017-12-21,-62.25,#370130101180902
2018-12-21,,#370130101180902
2019-12-21,-61.78739130434782,#370130101180902
2020-12-21,-65.41771739130435,#370130101180902
2001-12-21,,#370217101593801
2002-12-21,,#370217101593801
2003-12-21,,#370217101593801
2004-12-21,,#370217101593801
2005-12-21,,#370217101593801
2006-12-21,,#370217101593801
2007-12-21,,#370217101593801
2008-12-21,,#370217101593801
2009-12-21,,#370217101593801
2010-12-21,,#370217101593801
2011-12-21,,#370217101593801
2012-12-21,,#370217101593801
2013-12-21,,#370217101593801
2014-12-21,,#370217101593801
2015-12-21,,#370217101593801
2016-12-21,,#370217101593801
2017-12-21,,#370217101593801
2018-12-21,,#370217101593801
2019-12-21,,#370217101593801
2020-12-21,,#370217101593801
2001-12-21,,#370224101394603
2002-12-21,,#370224101394603
2003-12-21,,#370224101394603
2004-12-21,,#370224101394603
2005-12-21,,#370224101394603
2006-12-21,,#370224101394603
2007-12-21,,#370224101394603
2008-12-21,,#370224101394603
2009-12-21,,#370224101394603
2010-12-21,,#370224101394603
2011-12-21,,#370224101394603
2012-12-21,,#370224101394603
2013-12-21,,#370224101394603
2014-12-21,,#370224101394603
2015-12-21,,#370224101394603
2016-12-21,,#370224101394603
2017-12-21,,#370224101394603
2018-12-21,,#370224101394603
2019-12-21,,#370224101394603
2020-12-21,,#370224101394603
2001-12-21,,#370307100295701
2002-12-21,,#370307100295701
2003-12-21,,#370307100295701
2004-12-21,,#370307100295701
2005-12-21,,#370307100295701
2006-12-21,,#370307100295701
2007-12-21,,#370307100295701
2008-12-21,,#370307100295701
2009-12-21,,#370307100295701
2010-12-21,,#370307100295701
2011-12-21,,#370307100295701
2012-12-21,,#370307100295701
2013-12-21,,#370307100295701
2014-12-21,,#370307100295701
2015-12-21,,#370307100295701
2016-12-21,,#370307100295701
2017-12-21,,#370307100295701
2018-12-21,,#370307100295701
2019-12-21,,#370307100295701
2020-12-21,,#370307100295701
2001-12-21,,#370322101443201
2002-12-21,,#370322101443201
