"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"OWRB","1771","OWRB.1771.LITH.1","Other","overburden","eng","ft","0","feet","196","feet"
"OWRB","1771","OWRB.1771.LITH.2","Other","Streaks med red sand& clay medium loose","eng","ft","196","feet","211","feet"
"OWRB","1771","OWRB.1771.LITH.3","Other","medium red sand - medium loose","eng","ft","211","feet","215","feet"
"OWRB","1771","OWRB.1771.LITH.4","Other","clay","eng","ft","215","feet","226","feet"
"OWRB","1771","OWRB.1771.LITH.5","Other","Strks med red sand& clay","eng","ft","226","feet","241","feet"
"OWRB","1771","OWRB.1771.LITH.6","Other","Coarse sand w/few clay strks-loose","eng","ft","241","feet","256","feet"
"OWRB","1771","OWRB.1771.LITH.7","Other","Med to coarse Dakota sand- few clay strks","eng","ft","256","feet","271","feet"
"OWRB","1771","OWRB.1771.LITH.8","Other","fine red sand medium loose","eng","ft","271","feet","286","feet"
"OWRB","1771","OWRB.1771.LITH.9","Other","Med to coarse red sand- med loose w/clay strks","eng","ft","286","feet","301","feet"
"OWRB","1771","OWRB.1771.LITH.10","Other","medium sand and gravel loose","eng","ft","301","feet","316","feet"
"OWRB","1771","OWRB.1771.LITH.11","Other","medium sand and gravel loose","eng","ft","316","feet","331","feet"
"OWRB","1771","OWRB.1771.LITH.12","Other","medium sand and gravel loose","eng","ft","331","feet","346","feet"
"OWRB","1771","OWRB.1771.LITH.13","Other","coarse sand and gravel loose","eng","ft","346","feet","361","feet"
"OWRB","1771","OWRB.1771.LITH.14","Other","coarse sand and gravel loose","eng","ft","376","feet","380","feet"
"OWRB","1771","OWRB.1771.LITH.15","Other","clay","eng","ft","380","feet","388","feet"
"OWRB","1771","OWRB.1771.LITH.16","Other","coarse sand and gravel loose","eng","ft","388","feet","391","feet"
"OWRB","1771","OWRB.1771.LITH.17","Other","coarse sand and gravel loose","eng","ft","391","feet","406","feet"
"OWRB","1771","OWRB.1771.LITH.18","Other","coarse sand and gravel loose","eng","ft","406","feet","421","feet"
"OWRB","1771","OWRB.1771.LITH.19","Other","clay and red shale","eng","ft","421","feet","430","feet"
"OWRB","105532","OWRB.105532.LITH.1","Other","Surface","eng","ft","0","feet","200","feet"
"OWRB","105532","OWRB.105532.LITH.2","Other","Med & Coarse","eng","ft","200","feet","220","feet"
"OWRB","105532","OWRB.105532.LITH.3","Other","50% Med & Coarse 50% sandy clay","eng","ft","220","feet","230","feet"
"OWRB","105532","OWRB.105532.LITH.4","Other","Sandy Clay","eng","ft","230","feet","240","feet"
"OWRB","105532","OWRB.105532.LITH.5","Other","60% Med & Coarse 40% Sandy Clay","eng","ft","240","feet","250","feet"
"OWRB","105532","OWRB.105532.LITH.6","Other","Med & Coarse 10% Sandy Clay","eng","ft","250","feet","270","feet"
"OWRB","105532","OWRB.105532.LITH.7","Other","40% Med & Coarse & Clay","eng","ft","270","feet","280","feet"
"OWRB","105532","OWRB.105532.LITH.8","Other","Red Bed","eng","ft","280","feet","285","feet"
"OWRB","67882","OWRB.67882.LITH.1","Other","Fine Sand","eng","ft","0","feet","3","feet"
"OWRB","67882","OWRB.67882.LITH.2","Other","Brown Sandy Clay, Caliche, Sand","eng","ft","3","feet","20","feet"
"OWRB","67882","OWRB.67882.LITH.3","Other","Fine Sand","eng","ft","20","feet","26","feet"
"OWRB","67882","OWRB.67882.LITH.4","Other","Brown Sandy Clay, Cemented Sand","eng","ft","26","feet","35","feet"
"OWRB","67882","OWRB.67882.LITH.5","Other","Grey-Green Clay, Cemented Sand","eng","ft","35","feet","53","feet"
"OWRB","67882","OWRB.67882.LITH.6","Other","Brown Sandy Clay, Limerock","eng","ft","53","feet","113","feet"
"OWRB","67882","OWRB.67882.LITH.7","Other","Brwn Sandy Clay, Limerock, Cemented Sand","eng","ft","113","feet","154","feet"
"OWRB","67882","OWRB.67882.LITH.8","Other","Fine, Medium, Coarse Sand","eng","ft","154","feet","170","feet"
"OWRB","67882","OWRB.67882.LITH.9","Other","Brown Sandy Clay, Sand","eng","ft","170","feet","190","feet"
"OWRB","67882","OWRB.67882.LITH.10","Other","Fine-Medium-Coarse Sand, Med Gravel, Brown Rock","eng","ft","190","feet","220","feet"
"OWRB","67882","OWRB.67882.LITH.11","Other","Fine-Medium-Coarse Sand","eng","ft","220","feet","248","feet"
"OWRB","67882","OWRB.67882.LITH.12","Other","F-Med-Cse Sand, Small Gravel, Clay","eng","ft","248","feet","260","feet"
"OWRB","67882","OWRB.67882.LITH.13","Other","Fine-Medium-Coarse Sand","eng","ft","260","feet","317","feet"
"OWRB","67882","OWRB.67882.LITH.14","Other","Brown & Blue Clay","eng","ft","317","feet","342","feet"
"OWRB","67882","OWRB.67882.LITH.15","Other","Fine-Medium-Coarse Sand","eng","ft","342","feet","360","feet"
"OWRB","67882","OWRB.67882.LITH.16","Other","Brown & Blue Clay","eng","ft","360","feet","370","feet"
"OWRB","67882","OWRB.67882.LITH.17","Other","F-Med-Cse Sand, Small Gravel, Clay","eng","ft","370","feet","458","feet"
"OWRB","67882","OWRB.67882.LITH.18","Other","Fine-Medium-Coarse Sand, Clay","eng","ft","458","feet","480","feet"
"OWRB","67882","OWRB.67882.LITH.19","Other","Fine-Medium Sand, Clay","eng","ft","480","feet","503","feet"
"OWRB","67882","OWRB.67882.LITH.20","Other","Blue Clay, Sand Streaks","eng","ft","503","feet","514","feet"
"OWRB","67882","OWRB.67882.LITH.21","Other","Fine-Medium Sand, Clay","eng","ft","514","feet","530","feet"
"OWRB","67882","OWRB.67882.LITH.22","Other","Fn, Small, Medium Sand, Clay","eng","ft","530","feet","570","feet"
"OWRB","67882","OWRB.67882.LITH.23","Other","Fn-Med-Coarse Sand, Small-Medium Gravel, Clay","eng","ft","570","feet","613","feet"
"OWRB","67882","OWRB.67882.LITH.24","Other","Red Bed","eng","ft","613","feet","620","feet"
"OWRB","159811","OWRB.159811.LITH.1","Other","surface top soil sandy clay and caliche","eng","ft","0","feet","160","feet"
"OWRB","159811","OWRB.159811.LITH.2","Other","brown clay with sand strips","eng","ft","160","feet","180","feet"
"OWRB","159811","OWRB.159811.LITH.3","Other","fine loose sand with clay strips","eng","ft","180","feet","200","feet"
"OWRB","159811","OWRB.159811.LITH.4","Other","med fine sand with clay strips","eng","ft","200","feet","220","feet"
"OWRB","159811","OWRB.159811.LITH.5","Other","brown sandy clay","eng","ft","220","feet","240","feet"
"OWRB","159811","OWRB.159811.LITH.6","Other","fine fairly loose sand iwth clay stirps","eng","ft","240","feet","340","feet"
"OWRB","159811","OWRB.159811.LITH.7","Other","grey clay and shale","eng","ft","340","feet","380","feet"
"OWRB","159811","OWRB.159811.LITH.8","Other","fine loose sand withclays tirps","eng","ft","380","feet","400","feet"
"OWRB","159811","OWRB.159811.LITH.9","Other","med fine failry loose sand with clays tirps","eng","ft","400","feet","440","feet"
"OWRB","159811","OWRB.159811.LITH.10","Other","red and grey clay","eng","ft","440","feet","460","feet"
"OWRB","159811","OWRB.159811.LITH.11","Other","med fine fiarly loose sand","eng","ft","460","feet","540","feet"
"OWRB","159811","OWRB.159811.LITH.12","Other","fine to med sand to red clay","eng","ft","540","feet","580","feet"
"OWRB","159811","OWRB.159811.LITH.13","Other","red clay and shale","eng","ft","580","feet","590","feet"
"OWRB","5385","OWRB.5385.LITH.1","Other","S","eng","ft","0","feet","2","feet"
"OWRB","5385","OWRB.5385.LITH.2","Other","Sml snd","eng","ft","2","feet","15","feet"
"OWRB","5385","OWRB.5385.LITH.3","Other","Lrg snd","eng","ft","15","feet","40","feet"
"OWRB","5385","OWRB.5385.LITH.4","Other","Lrg snd, sml grvl","eng","ft","40","feet","58","feet"
"OWRB","5385","OWRB.5385.LITH.5","Other","R B","eng","ft","58","feet","70","feet"
"OWRB","33351","OWRB.33351.LITH.1","Other","Top soil","eng","ft","0","feet","1","feet"
"OWRB","33351","OWRB.33351.LITH.2","Other","Brown clay","eng","ft","1","feet","23","feet"
"OWRB","33351","OWRB.33351.LITH.3","Other","Brown sandy clay","eng","ft","23","feet","46","feet"
"OWRB","33351","OWRB.33351.LITH.4","Other","Fine sand","eng","ft","46","feet","58","feet"
"OWRB","33351","OWRB.33351.LITH.5","Other","Brown sandy clay","eng","ft","58","feet","82","feet"
"OWRB","33351","OWRB.33351.LITH.6","Other","Brown clay","eng","ft","82","feet","88","feet"
