"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"CODWR","149866","CODWR.149866.LITH.1","TOPSOIL","HIGH PLAINS AQUIFER","eng","ft","0","feet","12","feet"
"CODWR","149866","CODWR.149866.LITH.2","GRAVEL WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","12","feet","50","feet"
"CODWR","149866","CODWR.149866.LITH.3","GRAVEL WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","50","feet","67","feet"
"CODWR","149866","CODWR.149866.LITH.4","CLAY","HIGH PLAINS AQUIFER","eng","ft","67","feet","75","feet"
"CODWR","149866","CODWR.149866.LITH.5","GRAVEL WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","75","feet","84","feet"
"CODWR","149866","CODWR.149866.LITH.6","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","84","feet","136","feet"
"CODWR","149866","CODWR.149866.LITH.7","SAND WITH GRAVEL","HIGH PLAINS AQUIFER","eng","ft","136","feet","141","feet"
"CODWR","149866","CODWR.149866.LITH.8","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","141","feet","185","feet"
"CODWR","149866","CODWR.149866.LITH.9","SAND WITH GRAVEL","HIGH PLAINS AQUIFER","eng","ft","185","feet","196","feet"
"CODWR","149866","CODWR.149866.LITH.10","SAND, MED-COARSE","HIGH PLAINS AQUIFER","eng","ft","200","feet","210","feet"
"CODWR","149866","CODWR.149866.LITH.11","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","210","feet","265","feet"
"CODWR","149866","CODWR.149866.LITH.12","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","265","feet","312","feet"
"CODWR","149866","CODWR.149866.LITH.13","GRAVEL WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","312","feet","324","feet"
"CODWR","149866","CODWR.149866.LITH.14","CLAY","HIGH PLAINS AQUIFER","eng","ft","324","feet","326","feet"
"CODWR","149866","CODWR.149866.LITH.15","SAND WITH GRAVEL","HIGH PLAINS AQUIFER","eng","ft","326","feet","346","feet"
"CODWR","149866","CODWR.149866.LITH.16","GRAVEL WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","346","feet","355","feet"
"CODWR","149866","CODWR.149866.LITH.17","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","355","feet","375","feet"
"CODWR","149866","CODWR.149866.LITH.18","GRAVEL WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","375","feet","380","feet"
"CODWR","149866","CODWR.149866.LITH.19","GRAVEL WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","380","feet","395","feet"
"CODWR","149866","CODWR.149866.LITH.20","GRAVEL WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","395","feet","398","feet"
"CODWR","149866","CODWR.149866.LITH.21","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","398","feet","405","feet"
"CODWR","149866","CODWR.149866.LITH.22","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","405","feet","410","feet"
"CODWR","418","CODWR.418.LITH.1","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","0","feet","4","feet"
"CODWR","418","CODWR.418.LITH.2","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","4","feet","17","feet"
"CODWR","418","CODWR.418.LITH.3","CLAY","HIGH PLAINS AQUIFER","eng","ft","17","feet","21","feet"
"CODWR","418","CODWR.418.LITH.4","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","21","feet","35","feet"
"CODWR","418","CODWR.418.LITH.5","CLAY","HIGH PLAINS AQUIFER","eng","ft","35","feet","50","feet"
"CODWR","418","CODWR.418.LITH.6","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","50","feet","60","feet"
"CODWR","418","CODWR.418.LITH.7","CLAY","HIGH PLAINS AQUIFER","eng","ft","60","feet","75","feet"
"CODWR","418","CODWR.418.LITH.8","CLAY","HIGH PLAINS AQUIFER","eng","ft","75","feet","115","feet"
"CODWR","418","CODWR.418.LITH.9","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","115","feet","130","feet"
"CODWR","418","CODWR.418.LITH.10","CLAY","HIGH PLAINS AQUIFER","eng","ft","130","feet","144","feet"
"CODWR","418","CODWR.418.LITH.11","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","144","feet","150","feet"
"CODWR","418","CODWR.418.LITH.12","SANDSTONE","HIGH PLAINS AQUIFER","eng","ft","150","feet","176","feet"
"CODWR","418","CODWR.418.LITH.13","SANDSTONE","HIGH PLAINS AQUIFER","eng","ft","176","feet","178","feet"
"CODWR","418","CODWR.418.LITH.14","CLAY","HIGH PLAINS AQUIFER","eng","ft","178","feet","180","feet"
"CODWR","418","CODWR.418.LITH.15","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","180","feet","201","feet"
"CODWR","418","CODWR.418.LITH.16","CLAY","HIGH PLAINS AQUIFER","eng","ft","201","feet","215","feet"
"CODWR","418","CODWR.418.LITH.17","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","215","feet","226","feet"
"CODWR","418","CODWR.418.LITH.18","CLAY","HIGH PLAINS AQUIFER","eng","ft","226","feet","240","feet"
"CODWR","418","CODWR.418.LITH.19","SANDSTONE","HIGH PLAINS AQUIFER","eng","ft","240","feet","241","feet"
"CODWR","418","CODWR.418.LITH.20","CLAY","HIGH PLAINS AQUIFER","eng","ft","241","feet","250","feet"
"CODWR","418","CODWR.418.LITH.21","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","250","feet","253","feet"
"CODWR","418","CODWR.418.LITH.22","SANDSTONE","HIGH PLAINS AQUIFER","eng","ft","253","feet","255","feet"
"CODWR","418","CODWR.418.LITH.23","CLAY","HIGH PLAINS AQUIFER","eng","ft","255","feet","258","feet"
"CODWR","418","CODWR.418.LITH.24","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","258","feet","280","feet"
